id,target_date,mood_target,mood_mean,mood_std,mood_slope,mood_lag1,circumplex.valence_mean,circumplex.valence_lag1,circumplex.arousal_mean,circumplex.arousal_lag1,activity_mean,activity_std,screen_sum,screen_lag1,appCat.builtin_sum,appCat.builtin_lag1,appCat.communication_sum,appCat.communication_lag1,appCat.social_sum,appCat.social_lag1,appCat.entertainment_sum,appCat.entertainment_lag1,appCat.office_sum,appCat.other_sum,appCat.travel_sum,appCat.utilities_sum,appCat.game_sum,appCat.finance_sum,appCat.weather_sum,appCat.unknown_sum,call_sum,sms_sum,dow_sin,dow_cos,is_weekend,mood_class_target
AS14.27,2014-04-21,6.8,7.74,0.5272570530585625,-0.12999999999999998,7.2,0.86,0.6,-0.37,-0.4,0.11421977124183007,0.045130273789601535,23997.726999759674,5281.929001092911,21701.776399999937,17488.316399999938,10522.809000000001,2502.717,5004.367,1123.832,0.0,0.0,0.0,420.014,4128.887140000013,0.0,747.008,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0,low
AS14.27,2014-04-22,7.8,7.539999999999999,0.6693280212272603,-0.2999999999999997,6.8,0.7000000000000001,0.2,-0.09,0.0,0.10620856676003738,0.04773156833596353,20869.087999105453,3559.2100002765646,21392.516399999935,617.795,9520.177,1638.866,4999.312,844.478,0.0,0.0,0.0,374.59399999999994,2369.8910700000065,0.0,738.525,0.0,96.973,0.0,12.0,1.0,0.7818314824680298,0.6234898018587336,0,high
AS14.27,2014-04-23,8.0,7.58,0.679705818718657,-0.22999999999999932,7.8,0.7,0.8,-0.32999999999999996,-1.0,0.10539799253034547,0.04787519720762314,19958.68700027466,4648.677000284195,20216.964399999935,842.593,9655.034000000001,1461.4379999999999,4801.336,749.844,0.0,0.0,0.0,330.71999999999997,1514.69,0.0,1051.384,0.0,96.973,0.0,16.0,6.0,0.9749279121818236,-0.22252093395631434,0,high
AS14.27,2014-04-24,7.6,7.459999999999999,0.47749345545253286,0.16000000000000084,8.0,0.5800000000000001,0.8,-0.32999999999999996,0.0,0.09647983366900478,0.04953731567695406,20257.728000164032,2928.1900000572195,19926.748399999935,475.262,9877.425000000001,1228.441,5054.545,811.373,0.0,0.0,0.0,339.51399999999995,1387.318,0.0,1284.259,0.0,96.973,0.0,11.0,6.0,0.43388373911755823,-0.900968867902419,0,high
AS14.27,2014-04-25,7.6,7.4799999999999995,0.48166378315169184,0.19999999999999998,7.6,0.6000000000000001,0.6,-0.15999999999999998,0.6,0.10293058063445763,0.04464187662668708,20381.494000673294,3963.4879989624023,20753.615399999937,1329.649,8589.936,1758.474,4171.723,642.196,0.0,0.0,0.0,342.739,1711.59,0.0,1128.68,0.0,96.973,0.0,17.0,6.0,-0.433883739117558,-0.9009688679024191,0,high
AS14.27,2014-04-26,9.333333333333334,7.5600000000000005,0.4560701700396552,0.14000000000000076,7.6,0.6,0.6,0.15999999999999998,1.2,0.0947443061246537,0.02705952837046975,18774.072999238968,3674.5079996585846,4176.109,910.81,7637.934,1550.715,3631.549,583.658,0.0,0.0,0.0,700.181,1711.59,1.003,1084.001,0.0,127.734,0.0,18.0,6.0,-0.9749279121818236,-0.2225209339563146,1,high
AS14.27,2014-04-27,8.0,8.066666666666666,0.727247474309048,0.2666666666666675,9.333333333333334,0.8933333333333333,1.6666666666666667,0.29333333333333333,0.6666666666666666,0.1514804172357648,0.1202907419484109,20226.816999197006,5011.954000234605,5573.359,2015.045,7611.148,1612.08,3268.336,481.265,0.0,0.0,0.0,898.7620000000001,2193.698,1.003,979.408,0.0,91.13199999999999,0.0,35.0,5.0,-0.7818314824680299,0.6234898018587334,1,high
AS14.27,2014-04-28,7.8,8.106666666666666,0.7142984125855403,0.17333333333333453,8.0,0.8933333333333333,0.8,0.5733333333333333,0.4,0.15711877657399048,0.11773221409696195,22896.330999851227,7318.191000938415,5927.257,1196.491,9854.054,3704.344,4935.262,2416.77,0.0,0.0,0.0,899.946,1167.908,1.003,596.682,0.0,91.13199999999999,0.0,34.0,0.0,0.0,1.0,0,high
AS14.27,2014-04-29,7.2,8.066666666666666,0.727247474309048,0.08000000000000058,7.8,0.8933333333333333,0.8,0.6133333333333333,0.2,0.16916193543533115,0.10956592233609867,24919.352998256683,4951.211998462678,6272.007,820.0120000000001,9885.287,1259.674,5895.246,1771.357,0.0,0.0,0.0,1056.8020000000001,1849.435,1.003,445.05000000000007,0.0,91.13199999999999,0.0,37.0,0.0,0.7818314824680298,0.6234898018587336,0,medium
AS14.27,2014-04-30,6.6,7.986666666666667,0.808840047365499,-0.23333333333333214,7.2,0.8533333333333333,0.4,0.25333333333333335,-1.2,0.16921328931021443,0.109517977593493,24742.839000463486,3786.9740011692056,5761.413,819.055,9067.541,940.728,7001.393,1748.3429999999998,0.0,0.0,0.0,1072.007,1525.163,1.003,502.001,0.0,91.13199999999999,0.0,34.0,0.0,0.9749279121818236,-0.22252093395631434,0,low
AS14.27,2014-05-01,7.6,7.786666666666667,1.0235016148280158,-0.626666666666666,6.6,0.8133333333333332,0.4,0.2533333333333333,1.2,0.15900157531427123,0.1151612231708201,28243.28300189972,7174.952001094818,6075.326,1224.723,10592.149,3075.323,8838.616,2420.881,251.452,251.452,0.0,713.5029999999999,1525.163,0.0,494.24899999999997,0.0,60.370999999999995,0.0,31.0,0.0,0.43388373911755823,-0.900968867902419,0,high
AS14.27,2014-05-02,7.2,7.44,0.5549774770204644,-0.19999999999999934,7.6,0.64,0.8,0.2,0.4,0.10911891247902217,0.020310124564336778,28053.373002290726,4822.044000625611,4987.818,927.537,11214.305,2234.236,9101.1,743.749,414.024,162.572,0.0,511.8399999999999,1155.06,0.0,879.886,0.0,0.0,0.0,14.0,0.0,-0.433883739117558,-0.9009688679024191,0,medium
AS14.27,2014-05-03,6.4,7.280000000000001,0.4604345773288535,-0.07999999999999968,7.2,0.6000000000000001,0.6,-0.08,-1.0,0.1079693486590038,0.019311014669662774,24274.760999917988,3539.5789985656747,4609.088,817.761,9348.641,1838.68,7218.905,534.575,414.024,0.0,0.0,538.4449999999999,1075.356,0.0,1093.96,0.0,0.0,0.0,10.0,0.0,-0.9749279121818236,-0.2225209339563146,1,low
AS14.27,2014-05-04,7.4,7.0,0.4898979485566355,-0.09999999999999959,6.4,0.44000000000000006,0.0,0.12,1.2,0.09977490421455938,0.014987215992371182,24299.97000026703,4976.420998811722,4601.545,812.469,11496.852,3407.8849999999998,5932.455,484.907,414.024,0.0,0.0,369.55,527.6800000000001,0.0,976.4559999999999,0.0,0.0,0.0,8.0,0.0,-0.7818314824680299,0.6234898018587334,1,high
AS14.27,2014-05-05,7.666666666666667,7.039999999999999,0.5176871642217913,0.040000000000000854,7.4,0.4800000000000001,0.6,0.32,-0.2,0.0995829107505071,0.015188571496550899,26408.11099910736,5895.115000009537,6167.436000000001,2384.9460000000004,13272.886999999999,2716.763,6406.628000000001,2222.516,414.024,0.0,0.0,339.861,527.6800000000001,0.0,851.675,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0,high
AS14.27,2014-05-06,7.733333333333333,7.253333333333333,0.5107728349167453,0.033333333333334214,7.666666666666667,0.5333333333333333,0.6666666666666666,0.07999999999999999,0.0,0.11466529515354366,0.031076660851905382,25301.053996562958,6067.894998550414,6141.5199999999995,1198.807,12769.483999999999,2571.92,5148.048000000001,1162.301,162.572,0.0,0.0,296.596,527.6800000000001,0.0,828.8709999999999,0.0,0.0,0.0,4.0,0.0,0.7818314824680298,0.6234898018587336,0,high
AS14.27,2014-05-07,7.8,7.279999999999999,0.5362420680584054,0.23333333333333398,7.733333333333333,0.52,0.7333333333333334,0.059999999999999984,0.3,0.11177018021101495,0.03200186216806766,25344.1369972229,4865.127001285554,6022.811,808.828,14157.56,3622.312,4782.045,377.74600000000004,0.0,0.0,0.0,249.116,213.976,0.0,492.113,0.0,0.0,0.0,4.0,0.0,0.9749279121818236,-0.22252093395631434,0,high
AS14.27,2014-05-08,7.0,7.4,0.5792715732327588,0.3133333333333341,7.8,0.5599999999999999,0.8,0.38,0.6,0.10826935792022707,0.031909753642858495,25014.582998514175,3210.024999856947,6578.691000000001,1373.641,14290.548999999999,1971.669,4375.776,128.30599999999998,0.0,0.0,0.0,207.798,213.976,0.0,257.75199999999995,0.0,0.0,0.0,6.0,4.0,0.43388373911755823,-0.900968867902419,0,medium
AS14.27,2014-05-09,6.4,7.5200000000000005,0.32795663669996916,-0.06666666666666586,7.0,0.6,0.2,0.25999999999999995,0.6,0.10441399393555276,0.035533295512313615,24110.131999492645,4071.9699997901935,6416.307,650.085,13580.396999999999,2697.733,4423.698,532.829,0.0,0.0,0.0,201.852,0.0,0.0,405.111,0.0,0.0,0.0,5.0,4.0,-0.433883739117558,-0.9009688679024191,0,low
AS14.27,2014-05-10,6.6,7.32,0.6062636023674483,-0.32666666666666616,6.4,0.44000000000000006,-0.2,0.54,1.2,0.10696709851071615,0.03436744934058574,23487.602997541428,5272.585998058319,5581.428,1550.067,13272.306,2408.672,3356.639,1155.457,0.0,0.0,0.0,181.289,0.0,0.0,436.39000000000004,0.0,23.144,0.0,10.0,8.0,-0.9749279121818236,-0.2225209339563146,1,low
AS14.27,2014-05-11,7.0,7.1066666666666665,0.6404859266386906,-0.36666666666666636,6.6,0.3066666666666667,0.0,0.66,0.6,0.09425300912683665,0.01289325086542137,22377.001999139786,4957.294000148775,5571.041,1188.42,13283.228000000001,2582.842,3030.9219999999996,836.5840000000001,0.0,0.0,0.0,205.415,28.979,0.0,380.276,0.0,101.143,0.0,12.0,8.0,-0.7818314824680299,0.6234898018587334,1,medium
AS14.27,2014-05-12,7.8,6.960000000000001,0.5366563145999494,-0.19999999999999998,7.0,0.24000000000000005,0.4,0.8800000000000001,1.4,0.08991131341351188,0.014856692452385805,26703.99599695205,9192.120999097819,5998.509,1236.296,13525.091,3864.175,3599.3610000000003,946.185,0.0,0.0,0.0,241.607,28.979,0.0,331.39700000000005,0.0,390.21567999999945,0.0,15.0,8.0,0.0,1.0,0,high
AS14.27,2014-05-13,6.8,6.959999999999999,0.5366563145999494,0.2200000000000012,7.8,0.27999999999999997,1.0,0.76,0.0,0.08953043072345684,0.0144911198809709,26937.152999401093,3443.1820023059845,5347.934,723.066,13352.949000000002,1799.527,4212.119,741.0640000000001,0.0,0.0,0.0,247.51,28.979,0.0,403.067,0.0,421.28267999999946,0.0,14.0,4.0,0.7818314824680298,0.6234898018587336,0,low
